date,above_20,below_20,counted_20,above_50,below_50,counted_50
2025-01-02,12.22,87.78,499,20.44,79.56,499
2025-01-03,24.45,75.55,499,26.85,73.15,499
2025-01-06,29.66,70.34,499,26.45,73.55,499
2025-01-07,29.66,70.34,499,26.45,73.55,499
2025-01-08,36.67,63.33,499,27.25,72.75,499
2025-01-10,21.44,78.56,499,18.64,81.36,499
2025-01-13,29.86,70.14,499,20.84,79.16,499
2025-01-14,44.69,55.31,499,26.65,73.35,499
2025-01-15,58.72,41.28,499,34.07,65.93,499
2025-01-16,68.14,31.86,499,39.68,60.32,499
2025-01-17,74.75,25.25,499,43.69,56.31,499
2025-01-21,82.77,17.23,499,54.91,45.09,499
2025-01-22,76.95,23.05,499,51.30,48.70,499
2025-01-23,78.96,21.04,499,54.71,45.29,499
2025-01-24,79.56,20.44,499,54.71,45.29,499
2025-01-27,80.96,19.04,499,62.32,37.68,499
2025-01-28,74.35,25.65,499,55.91,44.09,499
2025-01-29,70.74,29.26,499,52.71,47.29,499
2025-01-30,77.15,22.85,499,58.52,41.48,499
2025-01-31,70.34,29.66,499,52.91,47.09,499
2025-02-03,63.53,36.47,499,49.30,50.70,499
2025-02-04,62.73,37.27,499,49.90,50.10,499
2025-02-05,65.73,34.27,499,54.91,45.09,499
2025-02-06,61.92,38.08,499,55.11,44.89,499
2025-02-07,56.51,43.49,499,52.71,47.29,499
2025-02-10,55.31,44.69,499,53.51,46.49,499
2025-02-11,52.71,47.29,499,55.11,44.89,499
2025-02-12,45.49,54.51,499,50.30,49.70,499
2025-02-13,50.70,49.30,499,57.11,42.89,499
2025-02-14,49.50,50.50,499,56.91,43.09,499
2025-02-18,55.11,44.89,499,60.12,39.88,499
2025-02-19,57.31,42.69,499,60.92,39.08,499
2025-02-20,53.91,46.09,499,59.52,40.48,499
2025-02-21,44.09,55.91,499,53.71,46.29,499
2025-02-24,45.49,54.51,499,54.51,45.49,499
2025-02-25,47.70,52.30,499,53.51,46.49,499
2025-02-26,45.49,54.51,499,53.71,46.29,499
2025-02-27,40.48,59.52,499,49.30,50.70,499
2025-02-28,51.10,48.90,499,54.71,45.29,499
2025-03-03,43.49,56.51,499,47.09,52.91,499
2025-03-04,33.67,66.33,499,40.88,59.12,499
2025-03-05,39.08,60.92,499,45.29,54.71,499
2025-03-06,34.87,65.13,499,41.48,58.52,499
2025-03-07,41.08,58.92,499,45.89,54.11,499
2025-03-10,37.88,62.12,499,40.48,59.52,499
2025-03-11,25.65,74.35,499,32.26,67.74,499
2025-03-12,17.64,82.36,499,30.06,69.94,499
2025-03-13,17.20,82.80,500,26.85,73.15,499
2025-03-14,27.40,72.60,500,32.67,67.33,499
2025-03-17,40.80,59.20,500,38.28,61.72,499
2025-03-18,36.00,64.00,500,36.47,63.53,499
